id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,auc,models_ensemble_count
openml.org/t/190392,madeline,autosklearn,1h8c_gp3,1,binary,0.964135,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:12,3659.5,3612.3,1.2,14.0,1229737988,,0.926752,0.92685,0.249489,0.964135,
openml.org/t/168910,fabert,autosklearn,1h8c_gp3,5,multiclass,-0.72525,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:12,3678.9,3622.6,2.1,8.0,1229737992,,0.740291,0.719708,0.72525,,
openml.org/t/359957,cnae-9,autosklearn,1h8c_gp3,8,multiclass,-0.135055,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:16,3648.3,3605.0,0.1,6.0,1229737995,,0.953704,0.953704,0.135055,,
openml.org/t/189922,gina,autosklearn,1h8c_gp3,3,binary,0.985645,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:16,3655.4,3603.2,2.6,11.0,1229737990,,0.946032,0.945665,0.328683,0.985645,
openml.org/t/190392,madeline,autosklearn,1h8c_gp3,4,binary,0.971965,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:17,3653.3,3608.2,0.5,14.0,1229737991,,0.910828,0.910824,0.321589,0.971965,
openml.org/t/359963,segment,autosklearn,1h8c_gp3,6,multiclass,-0.158917,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:20,3651.3,3608.9,0.2,4.0,1229737993,,0.943723,0.943723,0.158917,,
openml.org/t/359963,segment,autosklearn,1h8c_gp3,5,multiclass,-0.165015,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:22,3659.2,3616.6,0.3,5.0,1229737992,,0.943723,0.943723,0.165015,,
openml.org/t/359963,segment,autosklearn,1h8c_gp3,7,multiclass,-0.224932,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:39,3667.1,3624.5,0.3,5.0,1229737994,,0.939394,0.939394,0.224932,,
openml.org/t/190410,philippine,autosklearn,1h8c_gp3,1,binary,0.92949,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:42,3644.7,3597.3,1.1,13.0,1229737988,,0.849315,0.849315,0.486509,0.92949,
openml.org/t/359963,segment,autosklearn,1h8c_gp3,9,multiclass,-0.257896,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:42,3650.0,3607.5,0.3,4.0,1229737996,,0.909091,0.909091,0.257896,,
openml.org/t/168757,credit-g,mljarsupervised_benchmark,1h8c_gp3,2,binary,,auc,aws.docker,0.11.0,{'mode': 'Compete'},2.0.2,2021-11-22T23:10:44,3786.5,,,,1835214302,NoResultError: catboost/libs/data/model_dataset_compatibility.cpp:81: At position 20 should be feature with name Ensemble_prediction_0_for_bad_1_for_good (found Ensemble_prediction).,,,,,
openml.org/t/168868,APSFailure,mljarsupervised_benchmark,1h8c_gp3,5,binary,0.995377,auc,aws.docker,0.11.0,{'mode': 'Compete'},2.0.2,2021-11-22T23:10:53,3699.8,3645.5,32.8,36.0,1835214305,,0.985658,0.605072,0.0172792,0.995377,
openml.org/t/359964,dna,autosklearn,1h8c_gp3,1,multiclass,-0.0771097,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:53,3653.8,3607.2,0.5,8.0,1229737988,,0.984326,0.985261,0.0771097,,
openml.org/t/359964,dna,autosklearn,1h8c_gp3,2,multiclass,-0.112543,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:56,3652.2,3605.8,0.6,9.0,1229737989,,0.959248,0.962006,0.112543,,
